货箱编号,架次编号,服务区编号,物资类型,是否首批保障,交付完成时刻_s,硬截止时刻_s,期望送达时刻_s,相对期望延误_s,应急优先系数
S012-MED-01,OPT-006,S012,医疗物资,是,1368.828005645847,3600.0,7200,0.0,22
S012-WAT-01,OPT-006,S012,饮用水,是,1368.828005645847,3600.0,3600,0.0,12
S010-MED-01,OPT-007,S010,医疗物资,是,1137.9089808650415,3600.0,3600,0.0,24
S010-WAT-01,OPT-007,S010,饮用水,是,1137.9089808650415,3600.0,3600,0.0,12
S013-MED-01,OPT-007,S013,医疗物资,是,1545.0890445759017,3600.0,3600,0.0,24
S001-MED-01,OPT-008,S001,医疗物资,是,2813.1268705976427,3600.0,3600,0.0,24
S001-MED-02,OPT-008,S001,医疗物资,否,2813.1268705976427,3600.0,3600,0.0,24
S001-WAT-01,OPT-008,S001,饮用水,是,2813.1268705976427,3600.0,3600,0.0,12
S001-WAT-02,OPT-008,S001,饮用水,否,2813.1268705976427,,3600,0.0,12
S001-WAT-03,OPT-008,S001,饮用水,否,2813.1268705976427,,3600,0.0,12
S001-WAT-04,OPT-008,S001,饮用水,否,2813.1268705976427,,3600,0.0,12
S001-WAT-05,OPT-008,S001,饮用水,否,2813.1268705976427,,3600,0.0,12
S013-FOD-01,OPT-009,S013,应急食品,否,2814.997668511019,,7200,0.0,10
S013-WAT-01,OPT-009,S013,饮用水,是,2814.997668511019,3600.0,3600,0.0,12
S010-FOD-01,OPT-010,S010,应急食品,否,3064.9089808650415,,7200,0.0,10
S012-FOD-01,OPT-010,S012,应急食品,否,3693.6911105976806,,7200,0.0,10
S007-FOD-01,OPT-011,S007,应急食品,否,3216.722042457209,,7200,0.0,10
S007-WAT-01,OPT-011,S007,饮用水,是,3216.722042457209,3600.0,3600,0.0,12
S003-WAT-02,OPT-012,S003,饮用水,否,3370.636342742935,,7200,0.0,10
S003-WAT-03,OPT-012,S003,饮用水,否,3370.636342742935,,7200,0.0,10
S001-WAT-06,OPT-013,S001,饮用水,否,3191.1268705976427,,3600,0.0,12
S001-WAT-07,OPT-013,S001,饮用水,否,3191.1268705976427,,3600,0.0,12
S001-WAT-08,OPT-013,S001,饮用水,否,3191.1268705976427,,3600,0.0,12
S009-FOD-01,OPT-013,S009,应急食品,否,3695.9180212528777,,14400,0.0,6
S009-WAT-01,OPT-013,S009,饮用水,是,3695.9180212528777,10800.0,10800,0.0,8
S011-WAT-01,OPT-013,S011,饮用水,是,4286.753225773593,10800.0,10800,0.0,8
S003-FOD-02,OPT-014,S003,应急食品,否,3960.6363427429164,,10800,0.0,8
S003-MED-01,OPT-014,S003,医疗物资,是,3960.6363427429164,7200.0,7200,0.0,20
S003-WAT-01,OPT-014,S003,饮用水,是,3960.6363427429164,7200.0,7200,0.0,10
S011-MED-01,OPT-015,S011,医疗物资,是,3693.2172617676406,10800.0,10800,0.0,16
S015-MED-01,OPT-015,S015,医疗物资,是,4363.256932247046,7200.0,7200,0.0,18
S015-WAT-01,OPT-015,S015,饮用水,是,4363.256932247046,10800.0,10800,0.0,8
S004-FOD-01,OPT-016,S004,应急食品,否,4713.140494436376,,10800,0.0,8
S004-HYG-01,OPT-016,S004,生活卫生用品,否,4713.140494436376,,14400,0.0,6
S004-MED-01,OPT-016,S004,医疗物资,是,4713.140494436376,7200.0,7200,0.0,20
S004-WAT-01,OPT-016,S004,饮用水,是,4713.140494436376,7200.0,7200,0.0,10
S004-WAT-02,OPT-016,S004,饮用水,否,4713.140494436376,,7200,0.0,10
S004-WAT-03,OPT-016,S004,饮用水,否,4713.140494436376,,7200,0.0,10
S011-FOD-01,OPT-017,S011,应急食品,否,4322.217261767641,,14400,0.0,6
S015-FOD-01,OPT-017,S015,应急食品,否,4962.256932247046,,14400,0.0,6
S003-FOD-01,OPT-018,S003,应急食品,否,5417.789669761653,,10800,0.0,8
S003-WAT-04,OPT-018,S003,饮用水,否,5417.789669761653,,7200,0.0,10
S008-HYG-01,OPT-019,S008,生活卫生用品,否,5337.776607997488,,14400,0.0,6
S008-WAT-02,OPT-019,S008,饮用水,否,5337.776607997488,,7200,0.0,10
S002-FOD-01,OPT-020,S002,应急食品,否,5756.499576041884,,7200,0.0,10
S002-FOD-02,OPT-020,S002,应急食品,否,5756.499576041884,,7200,0.0,10
S005-FOD-01,OPT-021,S005,应急食品,否,6001.053286052299,,14400,0.0,6
S005-HYG-01,OPT-021,S005,生活卫生用品,否,6001.053286052299,,18000,0.0,4
S005-MED-01,OPT-021,S005,医疗物资,是,6001.053286052299,10800.0,10800,0.0,16
S005-WAT-01,OPT-021,S005,饮用水,是,6001.053286052299,10800.0,10800,0.0,8
S005-WAT-02,OPT-021,S005,饮用水,否,6001.053286052299,,10800,0.0,8
S005-WAT-03,OPT-021,S005,饮用水,否,6001.053286052299,,10800,0.0,8
S003-HYG-01,OPT-022,S003,生活卫生用品,否,6142.078601077302,,14400,0.0,6
S007-HYG-01,OPT-022,S007,生活卫生用品,否,5730.073699639558,,10800,0.0,8
S001-FOD-01,OPT-023,S001,应急食品,否,6551.126870597643,,7200,0.0,10
S001-FOD-02,OPT-023,S001,应急食品,否,6551.126870597643,,7200,0.0,10
S001-FOD-03,OPT-023,S001,应急食品,否,6551.126870597643,,7200,0.0,10
S001-HYG-01,OPT-023,S001,生活卫生用品,否,6551.126870597643,,10800,0.0,8
S001-HYG-02,OPT-023,S001,生活卫生用品,否,6551.126870597643,,10800,0.0,8
