货箱编号,架次编号,服务区编号,物资类型,是否首批保障,交付完成时刻_s,硬截止时刻_s,期望送达时刻_s,相对期望延误_s,应急优先系数
S004-WAT-02,OPT-017,S004,饮用水,否,4692.110633393081,,7200,0.0,10
S004-FOD-01,OPT-018,S004,应急食品,否,5126.349444593729,,10800,0.0,8
S004-WAT-03,OPT-018,S004,饮用水,否,5126.349444593729,,7200,0.0,10
S002-FOD-01,OPT-019,S002,应急食品,否,5379.499576041884,,7200,0.0,10
S002-FOD-02,OPT-019,S002,应急食品,否,5379.499576041884,,7200,0.0,10
S008-HYG-01,OPT-020,S008,生活卫生用品,否,5442.776607997488,,14400,0.0,6
S008-WAT-02,OPT-020,S008,饮用水,否,5442.776607997488,,7200,0.0,10
S005-FOD-01,OPT-021,S005,应急食品,否,5932.053286052299,,14400,0.0,6
S005-HYG-01,OPT-021,S005,生活卫生用品,否,5932.053286052299,,18000,0.0,4
S005-WAT-01,OPT-021,S005,饮用水,是,5932.053286052299,10800.0,10800,0.0,8
S005-WAT-02,OPT-021,S005,饮用水,否,5932.053286052299,,10800,0.0,8
S005-WAT-03,OPT-021,S005,饮用水,否,5932.053286052299,,10800,0.0,8
S007-FOD-01,OPT-022,S007,应急食品,否,6440.073699639558,,7200,0.0,10
S007-HYG-01,OPT-022,S007,生活卫生用品,否,6440.073699639558,,10800,0.0,8
S001-FOD-01,OPT-023,S001,应急食品,否,6678.126870597643,,7200,0.0,10
S001-FOD-02,OPT-023,S001,应急食品,否,6678.126870597643,,7200,0.0,10
S001-FOD-03,OPT-023,S001,应急食品,否,6678.126870597643,,7200,0.0,10
S001-HYG-01,OPT-023,S001,生活卫生用品,否,6678.126870597643,,10800,0.0,8
S001-HYG-02,OPT-023,S001,生活卫生用品,否,6678.126870597643,,10800,0.0,8
