货箱编号,架次编号,服务区编号,物资类型,是否首批保障,交付完成时刻_s,硬截止时刻_s,期望送达时刻_s,相对期望延误_s,应急优先系数
S003-FOD-02,OPT-012,S003,应急食品,否,3378.0786010773018,,10800,0.0,8
S007-MED-01,OPT-012,S007,医疗物资,是,2936.073699639558,3600.0,3600,0.0,24
S011-MED-01,OPT-013,S011,医疗物资,是,2966.2172617676406,10800.0,10800,0.0,16
S015-MED-01,OPT-013,S015,医疗物资,是,3636.2569322470463,7200.0,7200,0.0,18
S015-WAT-01,OPT-013,S015,饮用水,是,3636.2569322470463,10800.0,10800,0.0,8
S001-WAT-06,OPT-014,S001,饮用水,否,3189.1268705976427,,3600,0.0,12
S001-WAT-07,OPT-014,S001,饮用水,否,3189.1268705976427,,3600,0.0,12
S001-WAT-08,OPT-014,S001,饮用水,否,3189.1268705976427,,3600,0.0,12
S009-FOD-01,OPT-014,S009,应急食品,否,4256.135793721822,,14400,0.0,6
S009-WAT-01,OPT-014,S009,饮用水,是,4256.135793721822,10800.0,10800,0.0,8
S011-WAT-01,OPT-014,S011,饮用水,是,3631.0905892011065,10800.0,10800,0.0,8
S011-FOD-01,OPT-015,S011,应急食品,否,3563.2172617676406,,14400,0.0,6
S015-FOD-01,OPT-015,S015,应急食品,否,4203.256932247046,,14400,0.0,6
S003-HYG-01,OPT-016,S003,生活卫生用品,否,4769.907032440201,,14400,0.0,6
S003-MED-01,OPT-016,S003,医疗物资,是,4769.907032440201,7200.0,7200,0.0,20
S003-WAT-01,OPT-016,S003,饮用水,是,4769.907032440201,7200.0,7200,0.0,10
S003-WAT-02,OPT-016,S003,饮用水,否,4769.907032440201,,7200,0.0,10
S003-WAT-03,OPT-016,S003,饮用水,否,4769.907032440201,,7200,0.0,10
S003-WAT-04,OPT-016,S003,饮用水,否,4769.907032440201,,7200,0.0,10
S004-FOD-01,OPT-017,S004,应急食品,否,4619.349444593729,,10800,0.0,8
S004-WAT-03,OPT-017,S004,饮用水,否,4619.349444593729,,7200,0.0,10
S008-HYG-01,OPT-018,S008,生活卫生用品,否,4737.776607997488,,14400,0.0,6
S008-WAT-02,OPT-018,S008,饮用水,否,4737.776607997488,,7200,0.0,10
S008-FOD-01,OPT-019,S008,应急食品,否,5404.776607997488,,10800,0.0,8
S008-MED-01,OPT-019,S008,医疗物资,是,5404.776607997488,7200.0,7200,0.0,20
S008-WAT-01,OPT-019,S008,饮用水,是,5404.776607997488,7200.0,7200,0.0,10
S001-FOD-01,OPT-020,S001,应急食品,否,5924.126870597643,,7200,0.0,10
S001-FOD-02,OPT-020,S001,应急食品,否,5924.126870597643,,7200,0.0,10
S001-FOD-03,OPT-020,S001,应急食品,否,5924.126870597643,,7200,0.0,10
S001-HYG-01,OPT-020,S001,生活卫生用品,否,5924.126870597643,,10800,0.0,8
S001-HYG-02,OPT-020,S001,生活卫生用品,否,5924.126870597643,,10800,0.0,8
S007-FOD-01,OPT-020,S007,应急食品,否,6669.232037208583,,7200,0.0,10
S007-HYG-01,OPT-020,S007,生活卫生用品,否,6669.232037208583,,10800,0.0,8
S002-FOD-01,OPT-021,S002,应急食品,否,6574.439618108898,,7200,0.0,10
S002-FOD-02,OPT-021,S002,应急食品,否,6574.439618108898,,7200,0.0,10
S005-FOD-01,OPT-022,S005,应急食品,否,6870.053286052299,,14400,0.0,6
S005-HYG-01,OPT-022,S005,生活卫生用品,否,6870.053286052299,,18000,0.0,4
S005-WAT-01,OPT-022,S005,饮用水,是,6870.053286052299,10800.0,10800,0.0,8
S005-WAT-02,OPT-022,S005,饮用水,否,6870.053286052299,,10800,0.0,8
S005-WAT-03,OPT-022,S005,饮用水,否,6870.053286052299,,10800,0.0,8
