货箱编号,架次编号,服务区编号,物资类型,是否首批保障,交付完成时刻_s,硬截止时刻_s,期望送达时刻_s,相对期望延误_s,应急优先系数
S008-MED-01,OPT-014,S008,医疗物资,是,4741.776607997488,7200.0,7200,0.0,20
S008-WAT-01,OPT-014,S008,饮用水,是,4741.776607997488,7200.0,7200,0.0,10
S008-HYG-01,OPT-015,S008,生活卫生用品,否,5659.776607997488,,14400,0.0,6
S008-WAT-02,OPT-015,S008,饮用水,否,5659.776607997488,,7200,0.0,10
S004-FOD-01,OPT-016,S004,应急食品,否,6175.140494436376,,10800,0.0,8
S004-HYG-01,OPT-016,S004,生活卫生用品,否,6175.140494436376,,14400,0.0,6
S004-MED-01,OPT-016,S004,医疗物资,是,6175.140494436376,7200.0,7200,0.0,20
S004-WAT-01,OPT-016,S004,饮用水,是,6175.140494436376,7200.0,7200,0.0,10
S004-WAT-02,OPT-016,S004,饮用水,否,6175.140494436376,,7200,0.0,10
S004-WAT-03,OPT-016,S004,饮用水,否,6175.140494436376,,7200,0.0,10
S002-FOD-01,OPT-017,S002,应急食品,否,6850.205074664058,,7200,0.0,10
S002-FOD-02,OPT-017,S002,应急食品,否,6850.205074664058,,7200,0.0,10
S009-MED-01,OPT-017,S009,医疗物资,是,6448.406749812704,10800.0,10800,0.0,16
S003-HYG-01,OPT-018,S003,生活卫生用品,否,7161.907032440201,,14400,0.0,6
S003-MED-01,OPT-018,S003,医疗物资,是,7161.907032440201,7200.0,7200,0.0,20
S003-WAT-01,OPT-018,S003,饮用水,是,7161.907032440201,7200.0,7200,0.0,10
S003-WAT-02,OPT-018,S003,饮用水,否,7161.907032440201,,7200,0.0,10
S003-WAT-03,OPT-018,S003,饮用水,否,7161.907032440201,,7200,0.0,10
S003-WAT-04,OPT-018,S003,饮用水,否,7161.907032440201,,7200,0.0,10
S011-FOD-01,OPT-019,S011,应急食品,否,7151.212200201873,,14400,0.0,6
S015-FOD-01,OPT-019,S015,应急食品,否,7733.491098857533,,14400,0.0,6
S005-FOD-01,OPT-020,S005,应急食品,否,8271.0532860523,,14400,0.0,6
S005-HYG-01,OPT-020,S005,生活卫生用品,否,8271.0532860523,,18000,0.0,4
S005-MED-01,OPT-020,S005,医疗物资,是,8271.0532860523,10800.0,10800,0.0,16
S005-WAT-01,OPT-020,S005,饮用水,是,8271.0532860523,10800.0,10800,0.0,8
S005-WAT-02,OPT-020,S005,饮用水,否,8271.0532860523,,10800,0.0,8
S005-WAT-03,OPT-020,S005,饮用水,否,8271.0532860523,,10800,0.0,8
