道路要素编号,点序号,名称,道路类型,OSM编号,经度,纬度
RD0003,20,未记录,干线公路,184470364,109.3637564,23.1311548
RD0003,21,未记录,干线公路,184470364,109.3651038,23.1314412
RD0003,22,未记录,干线公路,184470364,109.3659784,23.1315942
RD0003,23,未记录,干线公路,184470364,109.3663698,23.1315694
RD0003,24,未记录,干线公路,184470364,109.3668634,23.1313918
RD0003,25,未记录,干线公路,184470364,109.3704983,23.1297665
RD0003,26,未记录,干线公路,184470364,109.3744777,23.1279126
RD0003,27,未记录,干线公路,184470364,109.3750333,23.1276647
RD0003,28,未记录,干线公路,184470364,109.3754572,23.1275834
RD0003,29,未记录,干线公路,184470364,109.3759131,23.127682
RD0003,30,未记录,干线公路,184470364,109.3777236,23.1282429
RD0003,31,未记录,干线公路,184470364,109.3781877,23.128353
RD0003,32,未记录,干线公路,184470364,109.3785647,23.1283377
RD0003,33,未记录,干线公路,184470364,109.3800946,23.1279407
RD0003,34,未记录,干线公路,184470364,109.3829986,23.1272291
RD0003,35,未记录,干线公路,184470364,109.3843836,23.1268878
RD0003,36,未记录,干线公路,184470364,109.3850578,23.1267723
RD0003,37,未记录,干线公路,184470364,109.3871557,23.1267146
RD0003,38,未记录,干线公路,184470364,109.3895924,23.1266658
RD0003,39,未记录,干线公路,184470364,109.3906283,23.1266934
RD0003,40,未记录,干线公路,184470364,109.391073,23.1268187
RD0003,41,未记录,干线公路,184470364,109.3919225,23.1271182
RD0004,1,南宁—宾阳—黎塘一级公路,干线公路,202770474,109.0422688,23.1824031
RD0004,2,南宁—宾阳—黎塘一级公路,干线公路,202770474,109.0417046,23.1824021
RD0004,3,南宁—宾阳—黎塘一级公路,干线公路,202770474,109.0388,23.1824011
RD0004,4,南宁—宾阳—黎塘一级公路,干线公路,202770474,109.0358404,23.1823882
RD0004,5,南宁—宾阳—黎塘一级公路,干线公路,202770474,109.0328115,23.182375139187613
RD0005,1,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.0422688,23.1824031
RD0005,2,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.0431882,23.1824194
RD0005,3,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.0435638,23.1824961
RD0005,4,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.0444325,23.1824946
RD0005,5,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.0453793,23.1824966
RD0005,6,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.0455282,23.1825002
RD0005,7,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.0468526,23.1825327
RD0005,8,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.0468823,23.1825368
RD0005,9,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.048094,23.1827147
RD0005,10,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.0488137,23.1828848
RD0005,11,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.0492215,23.1830107
RD0005,12,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.0510926,23.1835882
RD0005,13,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.0544788,23.1847067
RD0005,14,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.0578206,23.1858106
RD0005,15,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.0589097,23.1861596
RD0005,16,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.0691354,23.1894363
RD0005,17,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.070102,23.1898413
RD0005,18,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.0713542,23.1902913
RD0005,19,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.0719759,23.1904572
RD0005,20,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.0722956,23.1905425
RD0005,21,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.0728979,23.1906356
RD0006,1,未记录,次要道路,216933270,109.3963275,23.0554455
RD0006,2,未记录,次要道路,216933270,109.3967905,23.0554962
RD0006,3,未记录,次要道路,216933270,109.3971075,23.0554607
RD0006,4,未记录,次要道路,216933270,109.3974787,23.0552899
RD0006,5,未记录,次要道路,216933270,109.3979582,23.0549341
RD0006,6,未记录,次要道路,216933270,109.4001698,23.0529916
RD0006,7,未记录,次要道路,216933270,109.4009663,23.0522018
RD0006,8,未记录,次要道路,216933270,109.4025091,23.0503446
RD0006,9,未记录,次要道路,216933270,109.402904,23.0499282
RD0006,10,未记录,次要道路,216933270,109.4038157,23.0492063
RD0006,11,未记录,次要道路,216933270,109.4044707,23.0487605
RD0006,12,未记录,次要道路,216933270,109.4045579,23.0487012
RD0006,13,未记录,次要道路,216933270,109.4065912,23.0476057
RD0007,1,横州大道,次要道路,223286367,109.23450120520712,22.8615453
RD0007,2,横州大道,次要道路,223286367,109.2345523,22.8628861
RD0007,3,横州大道,次要道路,223286367,109.2344342,22.8640846
RD0007,4,横州大道,次要道路,223286367,109.2342733,22.8650531
RD0007,5,横州大道,次要道路,223286367,109.2336467,22.8671211
RD0007,6,横州大道,次要道路,223286367,109.2326564,22.8710052
RD0007,7,横州大道,次要道路,223286367,109.2322237,22.8729474
RD0007,8,横州大道,次要道路,223286367,109.2319766,22.8741998
RD0007,9,横州大道,次要道路,223286367,109.2318839,22.8750433
RD0007,10,横州大道,次要道路,223286367,109.2312585,22.8798762
RD0007,11,横州大道,次要道路,223286367,109.2311835,22.8800594
RD0008,1,兴六高速,高速公路,231114498,109.3847459,22.8813478
RD0008,2,兴六高速,高速公路,231114498,109.3838583,22.881164
RD0008,3,兴六高速,高速公路,231114498,109.3815072,22.880729
RD0008,4,兴六高速,高速公路,231114498,109.3791366,22.88036
RD0008,5,兴六高速,高速公路,231114498,109.3768065,22.8800451
RD0008,6,兴六高速,高速公路,231114498,109.3750706,22.8798549
RD0008,7,兴六高速,高速公路,231114498,109.3749487,22.8798416
RD0008,8,兴六高速,高速公路,231114498,109.3733053,22.8797067
RD0008,9,兴六高速,高速公路,231114498,109.3711584,22.8795361
RD0008,10,兴六高速,高速公路,231114498,109.3699494,22.8794497
RD0008,11,兴六高速,高速公路,231114498,109.3697406,22.8794348
RD0008,12,兴六高速,高速公路,231114498,109.3677268,22.8792402
RD0008,13,兴六高速,高速公路,231114498,109.3658634,22.8790749
RD0008,14,兴六高速,高速公路,231114498,109.3645527,22.8789656
RD0008,15,兴六高速,高速公路,231114498,109.3629035,22.878819
RD0008,16,兴六高速,高速公路,231114498,109.3608752,22.8786591
RD0008,17,兴六高速,高速公路,231114498,109.3589974,22.8784911
RD0008,18,兴六高速,高速公路,231114498,109.3572382,22.8783392
RD0008,19,兴六高速,高速公路,231114498,109.3550282,22.8781739
RD0008,20,兴六高速,高速公路,231114498,109.35392,22.8781099
RD0008,21,兴六高速,高速公路,231114498,109.3521406,22.8779873
RD0008,22,兴六高速,高速公路,231114498,109.3499937,22.8779073
RD0008,23,兴六高速,高速公路,231114498,109.3483329,22.8778566
RD0008,24,兴六高速,高速公路,231114498,109.3465505,22.877862
RD0008,25,兴六高速,高速公路,231114498,109.3444325,22.8778886
RD0008,26,兴六高速,高速公路,231114498,109.3421786,22.8779339
RD0008,27,兴六高速,高速公路,231114498,109.3400635,22.8779766
RD0008,28,兴六高速,高速公路,231114498,109.337743,22.8780086
RD0008,29,兴六高速,高速公路,231114498,109.3362211,22.8779499
RD0008,30,兴六高速,高速公路,231114498,109.3350782,22.8779073
RD0008,31,兴六高速,高速公路,231114498,109.3335475,22.8778033
RD0008,32,兴六高速,高速公路,231114498,109.3321442,22.8776754
RD0008,33,兴六高速,高速公路,231114498,109.3303851,22.8774754
RD0008,34,兴六高速,高速公路,231114498,109.3286837,22.8772142
RD0008,35,兴六高速,高速公路,231114498,109.3269216,22.876889
RD0008,36,兴六高速,高速公路,231114498,109.3259755,22.876713
RD0008,37,兴六高速,高速公路,231114498,109.3237823,22.8761718
RD0008,38,兴六高速,高速公路,231114498,109.3219652,22.875676
RD0008,39,兴六高速,高速公路,231114498,109.3201626,22.8751642
RD0008,40,兴六高速,高速公路,231114498,109.3184989,22.8747216
RD0008,41,兴六高速,高速公路,231114498,109.3165575,22.8742018
RD0008,42,兴六高速,高速公路,231114498,109.3144684,22.8737219
RD0008,43,兴六高速,高速公路,231114498,109.3128365,22.873394
RD0008,44,兴六高速,高速公路,231114498,109.3113291,22.8731194
RD0008,45,兴六高速,高速公路,231114498,109.3096943,22.8729302
RD0008,46,兴六高速,高速公路,231114498,109.3075676,22.8727169
RD0008,47,兴六高速,高速公路,231114498,109.3057824,22.8725916
RD0008,48,兴六高速,高速公路,231114498,109.3032912,22.8725169
RD0008,49,兴六高速,高速公路,231114498,109.3011559,22.8725223
RD0008,50,兴六高速,高速公路,231114498,109.298303,22.8725383
RD0008,51,兴六高速,高速公路,231114498,109.2951173,22.8725676
RD0008,52,兴六高速,高速公路,231114498,109.2922471,22.8725863
RD0008,53,兴六高速,高速公路,231114498,109.2903201,22.8726876
RD0008,54,兴六高速,高速公路,231114498,109.2886303,22.8728075
RD0008,55,兴六高速,高速公路,231114498,109.2867669,22.8729781
RD0008,56,兴六高速,高速公路,231114498,109.2853579,22.8731621
RD0008,57,兴六高速,高速公路,231114498,109.2838012,22.873394
RD0008,58,兴六高速,高速公路,231114498,109.281689,22.8737059
RD0008,59,兴六高速,高速公路,231114498,109.2799414,22.8739805
RD0008,60,兴六高速,高速公路,231114498,109.2780723,22.8742524
RD0008,61,兴六高速,高速公路,231114498,109.2756939,22.8746123
RD0008,62,兴六高速,高速公路,231114498,109.273113,22.8749882
RD0008,63,兴六高速,高速公路,231114498,109.2706044,22.8753481
RD0008,64,兴六高速,高速公路,231114498,109.2684054,22.875692
RD0008,65,兴六高速,高速公路,231114498,109.2655785,22.8761052
RD0008,66,兴六高速,高速公路,231114498,109.2628732,22.8765051
RD0008,67,兴六高速,高速公路,231114498,109.2607002,22.876785
RD0008,68,兴六高速,高速公路,231114498,109.2589787,22.8769609
RD0008,69,兴六高速,高速公路,231114498,109.2572629,22.8770969
RD0008,70,兴六高速,高速公路,231114498,109.2551275,22.8772115
RD0008,71,兴六高速,高速公路,231114498,109.2527636,22.8772728
RD0008,72,兴六高速,高速公路,231114498,109.2500872,22.8773101
RD0008,73,兴六高速,高速公路,231114498,109.2474253,22.8773741
RD0008,74,兴六高速,高速公路,231114498,109.2457123,22.8774278
RD0008,75,兴六高速,高速公路,231114498,109.2435625,22.8775371
RD0008,76,兴六高速,高速公路,231114498,109.2421013,22.8776731
RD0008,77,兴六高速,高速公路,231114498,109.2393729,22.877993
RD0008,78,兴六高速,高速公路,231114498,109.2376715,22.8782436
RD0008,79,兴六高速,高速公路,231114498,109.2355507,22.8785848
RD0008,80,兴六高速,高速公路,231114498,109.2334211,22.87891
RD0008,81,兴六高速,高速公路,231114498,109.2316388,22.8791819
RD0009,1,兴六高速,高速公路,231114499,109.0328115,22.88628008099011
RD0009,2,兴六高速,高速公路,231114499,109.036099,22.887367
RD0009,3,兴六高速,高速公路,231114499,109.039319,22.888194
RD0009,4,兴六高速,高速公路,231114499,109.0418044,22.8887661
RD0009,5,兴六高速,高速公路,231114499,109.0443282,22.8892342
RD0009,6,兴六高速,高速公路,231114499,109.0459522,22.889492
RD0009,7,兴六高速,高速公路,231114499,109.0587618,22.8910526
RD0009,8,兴六高速,高速公路,231114499,109.0606586,22.8912707
RD0009,9,兴六高速,高速公路,231114499,109.0624459,22.8915284
RD0009,10,兴六高速,高速公路,231114499,109.0639151,22.8918624
RD0009,11,兴六高速,高速公路,231114499,109.065367,22.892383
RD0009,12,兴六高速,高速公路,231114499,109.0702102,22.8940956
RD0009,13,兴六高速,高速公路,231114499,109.0716926,22.894472
RD0009,14,兴六高速,高速公路,231114499,109.0726423,22.8946584
RD0009,15,兴六高速,高速公路,231114499,109.0752524,22.8948727
RD0009,16,兴六高速,高速公路,231114499,109.0774883,22.894794
RD0009,17,兴六高速,高速公路,231114499,109.0804851,22.8944669
RD0009,18,兴六高速,高速公路,231114499,109.0810201,22.8944085
RD0009,19,兴六高速,高速公路,231114499,109.0818237,22.8943008
RD0009,20,兴六高速,高速公路,231114499,109.0832112,22.8941318
RD0009,21,兴六高速,高速公路,231114499,109.0858598,22.893793
RD0009,22,兴六高速,高速公路,231114499,109.0892511,22.8933567
RD0009,23,兴六高速,高速公路,231114499,109.0920433,22.8930341
RD0009,24,兴六高速,高速公路,231114499,109.0927783,22.8929621
RD0009,25,兴六高速,高速公路,231114499,109.0934727,22.8929248
RD0009,26,兴六高速,高速公路,231114499,109.0949304,22.892861
RD0009,27,兴六高速,高速公路,231114499,109.0960825,22.8928928
RD0009,28,兴六高速,高速公路,231114499,109.0977867,22.8930367
RD0009,29,兴六高速,高速公路,231114499,109.0987956,22.8931713
RD0009,30,兴六高速,高速公路,231114499,109.1007814,22.8935378
RD0009,31,兴六高速,高速公路,231114499,109.1019244,22.893793
RD0009,32,兴六高速,高速公路,231114499,109.1086804,22.895337
RD0009,33,兴六高速,高速公路,231114499,109.1153201,22.8967937
RD0009,34,兴六高速,高速公路,231114499,109.1169446,22.8971423
RD0009,35,兴六高速,高速公路,231114499,109.1182091,22.8973155
RD0009,36,兴六高速,高速公路,231114499,109.1191166,22.897413
RD0009,37,兴六高速,高速公路,231114499,109.1202706,22.8975037
RD0009,38,兴六高速,高速公路,231114499,109.1220813,22.8975043
RD0009,39,兴六高速,高速公路,231114499,109.1231113,22.8974696
RD0009,40,兴六高速,高速公路,231114499,109.124022,22.897385
RD0009,41,兴六高速,高速公路,231114499,109.126006,22.8971253
RD0009,42,兴六高速,高速公路,231114499,109.1289603,22.8966559
RD0009,43,兴六高速,高速公路,231114499,109.130716,22.896369
RD0009,44,兴六高速,高速公路,231114499,109.1307638,22.8963602
RD0009,45,兴六高速,高速公路,231114499,109.1366169,22.8952884
RD0009,46,兴六高速,高速公路,231114499,109.1392515,22.8947624
RD0009,47,兴六高速,高速公路,231114499,109.1418937,22.8941114
RD0009,48,兴六高速,高速公路,231114499,109.1439777,22.8935173
RD0009,49,兴六高速,高速公路,231114499,109.1481159,22.892241
RD0009,50,兴六高速,高速公路,231114499,109.1493797,22.8919126
RD0009,51,兴六高速,高速公路,231114499,109.1503664,22.8916967
RD0009,52,兴六高速,高速公路,231114499,109.15226,22.8913894
RD0009,53,兴六高速,高速公路,231114499,109.153526,22.8912409
RD0009,54,兴六高速,高速公路,231114499,109.1557644,22.8910507
RD0009,55,兴六高速,高速公路,231114499,109.1574639,22.890921
RD0009,56,兴六高速,高速公路,231114499,109.1596403,22.8907637
RD0009,57,兴六高速,高速公路,231114499,109.1622177,22.8904897
RD0009,58,兴六高速,高速公路,231114499,109.1637964,22.8902233
RD0009,59,兴六高速,高速公路,231114499,109.1645962,22.8900467
RD0009,60,兴六高速,高速公路,231114499,109.1663518,22.8895789
RD0009,61,兴六高速,高速公路,231114499,109.1692083,22.8887006
RD0009,62,兴六高速,高速公路,231114499,109.1729394,22.8875312
RD0009,63,兴六高速,高速公路,231114499,109.1760859,22.8866081
RD0009,64,兴六高速,高速公路,231114499,109.1775876,22.8861976
RD0009,65,兴六高速,高速公路,231114499,109.1785791,22.8859734
RD0009,66,兴六高速,高速公路,231114499,109.1794283,22.8858051
RD0009,67,兴六高速,高速公路,231114499,109.1802992,22.8856692
RD0009,68,兴六高速,高速公路,231114499,109.1820372,22.885495
RD0009,69,兴六高速,高速公路,231114499,109.1833054,22.885416
RD0009,70,兴六高速,高速公路,231114499,109.1855599,22.8853187
RD0009,71,兴六高速,高速公路,231114499,109.1874517,22.8852294
RD0009,72,兴六高速,高速公路,231114499,109.1882416,22.8851521
RD0009,73,兴六高速,高速公路,231114499,109.1895325,22.8849937
RD0009,74,兴六高速,高速公路,231114499,109.1911061,22.8846749
RD0009,75,兴六高速,高速公路,231114499,109.1940718,22.8838752
RD0009,76,兴六高速,高速公路,231114499,109.1954954,22.883486
RD0009,77,兴六高速,高速公路,231114499,109.196809,22.8831795
RD0009,78,兴六高速,高速公路,231114499,109.1983963,22.8828781
RD0009,79,兴六高速,高速公路,231114499,109.199766,22.8826996
RD0009,80,兴六高速,高速公路,231114499,109.2009465,22.8825877
RD0009,81,兴六高速,高速公路,231114499,109.2022453,22.8825237
RD0009,82,兴六高速,高速公路,231114499,109.2046472,22.8824917
RD0009,83,兴六高速,高速公路,231114499,109.2056927,22.882478
RD0009,84,兴六高速,高速公路,231114499,109.2073873,22.8823984
RD0009,85,兴六高速,高速公路,231114499,109.208826,22.8822987
RD0009,86,兴六高速,高速公路,231114499,109.2106915,22.8821318
RD0009,87,兴六高速,高速公路,231114499,109.2112307,22.8820857
RD0009,88,兴六高速,高速公路,231114499,109.2240527,22.8801425
RD0009,89,兴六高速,高速公路,231114499,109.2263684,22.8797814
RD0009,90,兴六高速,高速公路,231114499,109.2305285,22.8791328
RD0009,91,兴六高速,高速公路,231114499,109.2306986,22.8791062
RD0009,92,兴六高速,高速公路,231114499,109.2310883,22.8790564
RD0010,1,未记录,干线公路,240032530,109.3840051,22.905092
RD0010,2,未记录,干线公路,240032530,109.3840876,22.9053563
RD0010,3,未记录,干线公路,240032530,109.3843149,22.9059807
RD0010,4,未记录,干线公路,240032530,109.3847082,22.9072184
RD0010,5,未记录,干线公路,240032530,109.3851367,22.908567
RD0010,6,未记录,干线公路,240032530,109.3852396,22.9088908
RD0010,7,未记录,干线公路,240032530,109.3869808,22.914951
RD0010,8,未记录,干线公路,240032530,109.3889229,22.9199789
RD0010,9,未记录,干线公路,240032530,109.3891888,22.9204836
RD0010,10,未记录,干线公路,240032530,109.3895342,22.9209701
RD0010,11,未记录,干线公路,240032530,109.3908847,22.922857
RD0010,12,未记录,干线公路,240032530,109.3911965,22.923432
RD0010,13,未记录,干线公路,240032530,109.3934095,22.9293425
RD0010,14,未记录,干线公路,240032530,109.3935148,22.9297331
RD0010,15,未记录,干线公路,240032530,109.3935734,22.930081
RD0010,16,未记录,干线公路,240032530,109.3935213,22.9306449
RD0010,17,未记录,干线公路,240032530,109.393111,22.9324443
RD0010,18,未记录,干线公路,240032530,109.3918541,22.9370746
RD0010,19,未记录,干线公路,240032530,109.3916066,22.9380223
RD0010,20,未记录,干线公路,240032530,109.3916001,22.93864
RD0010,21,未记录,干线公路,240032530,109.3917368,22.9394797
RD0010,22,未记录,干线公路,240032530,109.3917499,22.9400975
RD0010,23,未记录,干线公路,240032530,109.3917108,22.9405713
RD0010,24,未记录,干线公路,240032530,109.3916261,22.941159
RD0010,25,未记录,干线公路,240032530,109.3914633,22.9416029
RD0010,26,未记录,干线公路,240032530,109.3904278,22.94372
RD0010,27,未记录,干线公路,240032530,109.3898091,22.9450394
RD0010,28,未记录,干线公路,240032530,109.3895355,22.9458791
RD0010,29,未记录,干线公路,240032530,109.3890015,22.9475823
RD0010,30,未记录,干线公路,240032530,109.3889494,22.9480621
RD0010,31,未记录,干线公路,240032530,109.3889689,22.94835
RD0010,32,未记录,干线公路,240032530,109.3890862,22.9487218
RD0010,33,未记录,干线公路,240032530,109.3894574,22.9492616
RD0010,34,未记录,干线公路,240032530,109.389757,22.9495314
RD0010,35,未记录,干线公路,240032530,109.3905711,22.9501312
RD0010,36,未记录,干线公路,240032530,109.3908706,22.950359
RD0010,37,未记录,干线公路,240032530,109.3912093,22.9507069
RD0010,38,未记录,干线公路,240032530,109.3915154,22.9511267
RD0010,39,未记录,干线公路,240032530,109.3919908,22.9520502
RD0010,40,未记录,干线公路,240032530,109.3922969,22.9528598
RD0010,41,未记录,干线公路,240032530,109.3924793,22.9533516
RD0010,42,未记录,干线公路,240032530,109.3925444,22.9538194
RD0010,43,未记录,干线公路,240032530,109.3925053,22.9548689
RD0010,44,未记录,干线公路,240032530,109.3924142,22.9555465
RD0010,45,未记录,干线公路,240032530,109.3921276,22.9576334
RD0010,46,未记录,干线公路,240032530,109.3919908,22.9582931
RD0010,47,未记录,干线公路,240032530,109.3918541,22.9590007
RD0010,48,未记录,干线公路,240032530,109.391815,22.9595224
RD0010,49,未记录,干线公路,240032530,109.3918541,22.9600442
RD0010,50,未记录,干线公路,240032530,109.392082,22.9607338
RD0010,51,未记录,干线公路,240032530,109.3927072,22.9626287
RD0010,52,未记录,干线公路,240032530,109.3927658,22.9628273
RD0010,53,未记录,干线公路,240032530,109.392831,22.9630485
RD0010,54,未记录,干线公路,240032530,109.3929352,22.9638101
RD0010,55,未记录,干线公路,240032530,109.393065,22.9652194
RD0010,56,未记录,干线公路,240032530,109.3931566,22.9662147
RD0010,57,未记录,干线公路,240032530,109.3931881,22.9672794
RD0010,58,未记录,干线公路,240032530,109.3932478,22.9692968
RD0010,59,未记录,干线公路,240032530,109.393365,22.9723969
RD0010,60,未记录,干线公路,240032530,109.3935213,22.9750532
RD0010,61,未记录,干线公路,240032530,109.3937427,22.9797001
RD0010,62,未记录,干线公路,240032530,109.3936451,22.9809292
RD0010,63,未记录,干线公路,240032530,109.3934888,22.9818346
RD0010,64,未记录,干线公路,240032530,109.392857,22.9844907
RD0010,65,未记录,干线公路,240032530,109.3927398,22.9851083
RD0010,66,未记录,干线公路,240032530,109.3926421,22.9859477
RD0010,67,未记录,干线公路,240032530,109.3924207,22.9896169
RD0010,68,未记录,干线公路,240032530,109.3921667,22.9930283
RD0010,69,未记录,干线公路,240032530,109.3921471,22.9938437
RD0010,70,未记录,干线公路,240032530,109.3920494,22.9949108
RD0010,71,未记录,干线公路,240032530,109.3920039,22.9953245
RD0010,72,未记录,干线公路,240032530,109.3918866,22.9956902
RD0010,73,未记录,干线公路,240032530,109.3916391,22.9961458
RD0010,74,未记录,干线公路,240032530,109.3908576,22.9973508
RD0010,75,未记录,干线公路,240032530,109.3898742,22.9989875
RD0010,76,未记录,干线公路,240032530,109.3888777,23.0010857
RD0010,77,未记录,干线公路,240032530,109.3882916,23.0025904
RD0010,78,未记录,干线公路,240032530,109.387979,23.0036455
RD0010,79,未记录,干线公路,240032530,109.3872496,23.006547
RD0010,80,未记录,干线公路,240032530,109.3871649,23.0071705
RD0010,81,未记录,干线公路,240032530,109.3871779,23.00765
RD0010,82,未记录,干线公路,240032530,109.3873212,23.0083454
RD0010,83,未记录,干线公路,240032530,109.3881548,23.0115825
RD0010,84,未记录,干线公路,240032530,109.3886303,23.0136385
RD0010,85,未记录,干线公路,240032530,109.3889168,23.0159344
RD0010,86,未记录,干线公路,240032530,109.3890015,23.017403
RD0010,87,未记录,干线公路,240032530,109.3889299,23.0212512
RD0010,88,未记录,干线公路,240032530,109.3889429,23.0222462
RD0010,89,未记录,干线公路,240032530,109.3891252,23.0243321
RD0010,90,未记录,干线公路,240032530,109.3896984,23.0274009
RD0010,91,未记录,干线公路,240032530,109.3903301,23.0299902
RD0010,92,未记录,干线公路,240032530,109.3910725,23.0325135
RD0010,93,未记录,干线公路,240032530,109.3916001,23.0340299
RD0010,94,未记录,干线公路,240032530,109.3920234,23.0354323
RD0010,95,未记录,干线公路,240032530,109.3921667,23.0368707
RD0010,96,未记录,干线公路,240032530,109.3923398,23.0389381
RD0010,97,未记录,干线公路,240032530,109.3924148,23.0403079
RD0010,98,未记录,干线公路,240032530,109.392844,23.0454808
RD0010,99,未记录,干线公路,240032530,109.3931373,23.0488517
RD0010,100,未记录,干线公路,240032530,109.3932087,23.0496719
RD0010,101,未记录,干线公路,240032530,109.3932836,23.0505699
RD0010,102,未记录,干线公路,240032530,109.393509,23.051182
RD0010,103,未记录,干线公路,240032530,109.3937766,23.0516175
RD0010,104,未记录,干线公路,240032530,109.3939642,23.0518233
RD0010,105,未记录,干线公路,240032530,109.3953058,23.052872
RD0010,106,未记录,干线公路,240032530,109.3957747,23.0532975
