点位编号,名称,类别,OSM编号,位置,经度,纬度
ST038,六昌,村庄,3910747342,乡内,109.191,23.0026
ST039,六花,村庄,3910747343,乡内,109.173,22.99
ST040,陆村,村庄,3910747344,乡外,109.14,22.9698
ST041,木路,村庄,3910747346,乡内,109.196,22.9933
ST042,那罗,村庄,3910747348,乡外,109.144,22.8879
ST043,那妙新村,村庄,3910747349,乡外,109.069,22.9524
ST044,泮塘,村庄,3910747352,乡外,109.098,22.8624
ST045,平林,村庄,3910747353,乡外,109.073,22.8718
ST046,平田,村庄,3910747354,乡外,109.131,23.0018
ST047,三联,村庄,3910747356,乡外,109.1037663,22.9699968
ST048,石塘镇,乡镇,3910748657,乡外,109.0671696,22.8866563
ST049,双河,村庄,3910748658,乡外,109.103,22.9588
ST050,榃冠,村庄,3910748659,乡外,109.129,22.8634
ST051,塘旺,村庄,3910748660,乡外,109.08,22.9078
ST052,潭宽,村庄,3910748661,乡外,109.0794536,22.9137058
ST053,榃冷,村庄,3910748662,乡外,109.18,22.9241
ST054,榃桥,村庄,3910748663,乡外,109.1660386,22.901617
ST055,旺感新,村庄,3910748664,乡外,109.101,22.8899
ST056,旺龙,村庄,3910748665,乡外,109.043,22.9637
ST057,旺宅,村庄,3910748666,乡外,109.1124289,22.9057304
ST058,为合,村庄,3910748667,乡外,109.104,22.8677
ST059,五福,村庄,3910748668,乡外,109.148,23.0027
ST060,新宁,村庄,3910748669,乡外,109.051,22.9419
ST061,中团,村庄,3910748670,乡外,109.173,22.9395
ST062,竹瓦,村庄,3910748671,乡内,109.177,23.0162
ST063,八凤,村庄,3910776655,乡外,109.09,23.0103
ST064,百含,村庄,3910776656,乡外,109.0786687,23.0588448
ST065,长奎,村庄,3910776758,乡外,109.085,23.0444
ST066,均圩,村庄,3910776762,乡外,109.037,23.029
ST067,君庄,村庄,3910776763,乡外,109.071,23.0369
ST068,可包,村庄,3910776764,乡外,109.069,22.9917
ST069,浪利,村庄,3910776766,乡外,109.037,23.0019
ST070,榄桥,村庄,3910776767,乡外,109.096,23.0063
ST071,六庄,村庄,3910776768,乡外,109.117,23.0346
ST072,木塘,村庄,3910776769,乡外,109.09,23.0274
ST073,那笠,村庄,3910776771,乡外,109.102,23.0619
ST074,欧村,村庄,3910776772,乡外,109.046,23.0072
ST075,平塘,村庄,3910776773,乡外,109.0744707,23.053477
ST076,上塘,村庄,3910776774,乡外,109.057,23.0255
ST077,上学,村庄,3910776775,乡外,109.075,23.025
ST078,田僚,村庄,3910776776,乡外,109.117,23.0553
ST079,王平,村庄,3910776777,乡外,109.085,23.013
ST080,下富,村庄,3910776778,乡外,109.051,23.0281
ST081,青桐,村庄,3910905260,乡外,109.1953163,22.8938404
ST082,龙母,村庄,4425310426,乡外,109.0393476,23.1252652
ST083,龙贵,村庄,4806278759,乡外,109.413,22.9287
ST084,大良,村庄,4806278782,乡外,109.418,22.8866
ST085,郭祥,村庄,4806278785,乡外,109.445,22.8813
ST086,六秀新,村庄,4806278802,乡外,109.411,22.9562
ST087,宝盖,村庄,4806278805,乡外,109.442,22.9611
ST088,旺庄,村庄,4806278811,乡外,109.399,22.8724
ST089,龙公,村庄,5084352463,乡外,109.055,23.213
ST090,青草,村庄,5084352464,乡外,109.0850476,23.1613727
ST091,三择,村庄,5084352465,乡外,109.047,23.1445
ST092,吴江,村庄,5084352466,乡外,109.065,23.2147
ST093,细江,村庄,5084352467,乡外,109.059,23.2224
ST094,新兴,村庄,5084352468,乡外,109.037,23.1257
ST095,安城,村庄,5084418287,乡外,109.104,23.2118
ST096,平龙,村庄,5084418295,乡外,109.121,23.2136
ST097,姚村,村庄,5084418302,乡外,109.128,23.2242
ST098,灵竹,村庄,5126756524,乡外,109.13472,22.9593493
ST099,镇龙乡,乡镇,5126807955,乡内,109.243639,23.0322977
ST100,新林,村庄,5154968173,乡外,109.423,22.9833
ST101,岭岑,村庄,5154996714,乡外,109.321,23.1478
ST102,六枕,村庄,5154996715,乡外,109.2930906,23.1691081
ST103,莫村,村庄,5154996716,乡外,109.3089407,23.1500718
ST104,平寨,村庄,5154996717,乡外,109.33,23.1526
ST105,元岭,村庄,5154996718,乡外,109.3245492,23.1454549
ST106,罗村,村庄,5154998377,乡外,109.3801132,23.0538279
ST107,上陈,村庄,7939345339,乡外,109.3229066,22.9832482
ST108,龚村,村庄,7940974371,乡外,109.3432146,22.9378269
ST109,六贡,村庄,7940981418,乡外,109.3824591,22.9684581
ST110,三岔,村庄,7999979686,乡外,109.359,22.9278
ST111,福塘,村庄,7999979687,乡外,109.36,22.8992
ST112,振兴,村庄,7999979688,乡外,109.38,22.8832
ST113,福龙,村庄,7999979689,乡外,109.376,22.8972
ST114,南康,村庄,7999979690,乡外,109.33,22.9261
ST115,甲俭,村庄,7999979691,乡外,109.351,22.9177
ST116,宿龙,村庄,7999979692,乡外,109.313,22.9045
ST117,邓圩,村庄,7999979693,乡外,109.298,22.9249
ST118,临江,村庄,7999986666,乡外,109.275,22.9034
ST119,罗村,村庄,7999986667,乡外,109.253,22.9092
ST120,旺安,村庄,7999986668,乡外,109.2288065,22.9150294
ST121,东圩,村庄,7999986669,乡外,109.254,22.8983
ST122,白衣,村庄,7999986670,乡外,109.242,22.9164
ST123,下里,村庄,7999986671,乡外,109.233,22.8923
ST124,六蓝村,村庄,7999986672,乡外,109.265,22.922
ST125,里造,村庄,8002101958,乡外,109.287,22.8793
ST126,未命名居民点,村庄,9158122396,乡外,109.0361738,23.1029838
ST127,太塘,村庄,9193928965,乡外,109.1876969,23.2017299
ST128,大塘,村庄,9193928966,乡外,109.1907006,23.1988454
ST129,覃村,村庄,9482699703,乡外,109.1836596,23.2111405
ST130,黄村,村庄,9482699704,乡外,109.1851963,23.207957
ST131,新凤,村庄,9482699938,乡外,109.188361,23.2125497
ST132,高塘,村庄,11118428527,乡外,109.1424282,23.1957024
ST133,里仁,村庄,11118958451,乡外,109.1674374,23.1875337
ST134,常安,村庄,11118958452,乡外,109.1461042,23.1996775
ST135,潘山,村庄,11118958453,乡外,109.1514899,23.1991338
ST136,青山,村庄,11118958454,乡外,109.1551995,23.1966077
ST137,青平,村庄,11118958455,乡外,109.1379333,23.2005158
ST138,欧阳,村庄,11634880138,乡外,109.1859961,23.1577319
ST139,良四,村庄,11634880183,乡外,109.170186,23.1476777
ST140,果问,村庄,11634880266,乡外,109.2072017,23.1293571
ST141,良元,村庄,11634880968,乡外,109.1876082,23.1247911
ST142,新果莪,村庄,11634881068,乡外,109.1821723,23.1166509
ST143,干江,村庄,11634881104,乡内,109.2054913,23.1014131
ST144,果招,村庄,11634881128,乡外,109.176236,23.1128317
ST145,大站,村庄,11634881512,乡内,109.2191546,23.0776627
ST146,古麻,村庄,11634881632,乡内,109.2019376,23.0742455
ST147,竹瓦,村庄,11634881796,乡外,109.1738636,23.0938857
ST148,那麓,村庄,11634881841,乡内,109.2201329,23.063406
ST149,古律,村庄,11634881882,乡内,109.2097858,23.058543
ST150,那托,村庄,11634882054,乡内,109.1894467,23.0497624
ST151,六造,村庄,11634882329,乡内,109.168918,23.0409654
ST152,都长,村庄,11634882330,乡内,109.166781,23.0365922
ST153,那旭,村庄,11634882331,乡内,109.1728034,23.036716
ST154,佛子,村庄,11634882332,乡内,109.1790201,23.0275429
ST155,银坑,村庄,11634882384,乡内,109.1915989,23.0358083
ST156,那桑,村庄,11634882385,乡内,109.1931438,23.0294971
ST157,六规,村庄,11634882436,乡内,109.1974591,23.0424149
ST158,那从,村庄,11634882604,乡内,109.2189672,23.0312847
ST159,平旺,村庄,11634882605,乡内,109.2293012,23.0248391
ST160,那龙,村庄,11634882606,乡内,109.2368288,23.0398887
ST161,上良,村庄,11634882607,乡内,109.2266493,23.0561427
ST162,三岔,村庄,11634882851,乡外,109.1395408,22.971984
ST163,罗管,村庄,11637200196,乡外,109.0741986,23.0765845
ST164,横梨,村庄,11637200490,乡外,109.1475567,23.110668
ST165,那业,村庄,11637200491,乡外,109.1345105,23.1146782
ST166,黄兴,村庄,11637200697,乡外,109.0865984,23.1169218
