水系要素编号,点序号,名称,水系类型,OSM编号,长度_km,经度,纬度
WY003,70,未记录,河流,184470363,23.364,109.3245568,23.1501049
WY003,71,未记录,河流,184470363,23.364,109.3251336,23.1497518
WY003,72,未记录,河流,184470363,23.364,109.3261035,23.1496065
WY003,73,未记录,河流,184470363,23.364,109.3284035,23.1494844
WY003,74,未记录,河流,184470363,23.364,109.3289477,23.1489359
WY003,75,未记录,河流,184470363,23.364,109.3287481,23.1478723
WY003,76,未记录,河流,184470363,23.364,109.3282776,23.1468431
WY003,77,未记录,河流,184470363,23.364,109.3287152,23.1453859
WY003,78,未记录,河流,184470363,23.364,109.3297684,23.144977
WY003,79,未记录,河流,184470363,23.364,109.3304141,23.1449679
WY003,80,未记录,河流,184470363,23.364,109.3319402,23.1468309
WY003,81,未记录,河流,184470363,23.364,109.3330941,23.1473936
WY003,82,未记录,河流,184470363,23.364,109.3337595,23.1472855
WY003,83,未记录,河流,184470363,23.364,109.3339419,23.1467774
WY003,84,未记录,河流,184470363,23.364,109.3347273,23.1462505
WY003,85,未记录,河流,184470363,23.364,109.335385,23.1458205
WY003,86,未记录,河流,184470363,23.364,109.3361212,23.1444673
WY003,87,未记录,河流,184470363,23.364,109.3365678,23.1440264
WY003,88,未记录,河流,184470363,23.364,109.3364096,23.1425608
WY003,89,未记录,河流,184470363,23.364,109.336431,23.1416179
WY003,90,未记录,河流,184470363,23.364,109.3367145,23.1406996
WY003,91,未记录,河流,184470363,23.364,109.3369031,23.1406313
WY003,92,未记录,河流,184470363,23.364,109.3370801,23.1407793
WY003,93,未记录,河流,184470363,23.364,109.3373913,23.1408089
WY003,94,未记录,河流,184470363,23.364,109.3377307,23.1404181
WY003,95,未记录,河流,184470363,23.364,109.3379492,23.1394967
WY003,96,未记录,河流,184470363,23.364,109.3393549,23.1383734
WY003,97,未记录,河流,184470363,23.364,109.340347,23.1378689
WY003,98,未记录,河流,184470363,23.364,109.3411034,23.1372128
WY003,99,未记录,河流,184470363,23.364,109.3424652,23.1365789
WY003,100,未记录,河流,184470363,23.364,109.3432277,23.1364235
WY003,101,未记录,河流,184470363,23.364,109.3436086,23.1364975
WY003,102,未记录,河流,184470363,23.364,109.3442546,23.1366662
WY003,103,未记录,河流,184470363,23.364,109.3446225,23.1366554
WY003,104,未记录,河流,184470363,23.364,109.3448853,23.1365814
WY003,105,未记录,河流,184470363,23.364,109.3451123,23.136038
WY003,106,未记录,河流,184470363,23.364,109.3452448,23.135802
WY003,107,未记录,河流,184470363,23.364,109.3453252,23.1354863
WY003,108,未记录,河流,184470363,23.364,109.3452594,23.1348885
WY003,109,未记录,河流,184470363,23.364,109.345057,23.134105
WY003,110,未记录,河流,184470363,23.364,109.3445976,23.1334685
WY003,111,未记录,河流,184470363,23.364,109.3444896,23.1328644
WY003,112,未记录,河流,184470363,23.364,109.3446879,23.1325003
WY003,113,未记录,河流,184470363,23.364,109.3452517,23.1323367
WY003,114,未记录,河流,184470363,23.364,109.3453628,23.1323982
WY003,115,未记录,河流,184470363,23.364,109.3454778,23.1325462
WY003,116,未记录,河流,184470363,23.364,109.345713,23.1329369
WY003,117,未记录,河流,184470363,23.364,109.3461969,23.1336802
WY003,118,未记录,河流,184470363,23.364,109.3477765,23.1349657
WY003,119,未记录,河流,184470363,23.364,109.3488037,23.1351239
WY003,120,未记录,河流,184470363,23.364,109.3504011,23.1350612
WY003,121,未记录,河流,184470363,23.364,109.3521756,23.1352298
WY003,122,未记录,河流,184470363,23.364,109.3526558,23.1355071
WY003,123,未记录,河流,184470363,23.364,109.3542593,23.135586
WY003,124,未记录,河流,184470363,23.364,109.3555429,23.134997
WY003,125,未记录,河流,184470363,23.364,109.3560866,23.1340433
WY003,126,未记录,河流,184470363,23.364,109.3560381,23.1330463
WY003,127,未记录,河流,184470363,23.364,109.3558928,23.131946
WY003,128,未记录,河流,184470363,23.364,109.3554929,23.1312228
WY003,129,未记录,河流,184470363,23.364,109.3557005,23.1304427
WY003,130,未记录,河流,184470363,23.364,109.3559395,23.1298172
WY003,131,未记录,河流,184470363,23.364,109.3559211,23.128955
WY003,132,未记录,河流,184470363,23.364,109.3554064,23.1279238
WY003,133,未记录,河流,184470363,23.364,109.3549836,23.1269772
WY003,134,未记录,河流,184470363,23.364,109.355002,23.1261826
WY003,135,未记录,河流,184470363,23.364,109.3555719,23.1255064
WY003,136,未记录,河流,184470363,23.364,109.3570679,23.1245888
WY003,137,未记录,河流,184470363,23.364,109.3577278,23.1242879
WY003,138,未记录,河流,184470363,23.364,109.3580389,23.1240807
WY003,139,未记录,河流,184470363,23.364,109.3583951,23.1235832
WY003,140,未记录,河流,184470363,23.364,109.3586504,23.1233505
WY003,141,未记录,河流,184470363,23.364,109.3588221,23.1231532
WY003,142,未记录,河流,184470363,23.364,109.3588436,23.1228079
WY003,143,未记录,河流,184470363,23.364,109.3587691,23.1222948
WY003,144,未记录,河流,184470363,23.364,109.3590689,23.1217274
WY003,145,未记录,河流,184470363,23.364,109.3594141,23.1214252
WY003,146,未记录,河流,184470363,23.364,109.3597934,23.1211008
WY003,147,未记录,河流,184470363,23.364,109.3603059,23.1207558
WY003,148,未记录,河流,184470363,23.364,109.3604153,23.1206371
WY003,149,未记录,河流,184470363,23.364,109.3604079,23.1203333
WY003,150,未记录,河流,184470363,23.364,109.3602415,23.1198507
WY003,151,未记录,河流,184470363,23.364,109.3600248,23.1194716
WY003,152,未记录,河流,184470363,23.364,109.359873,23.1191856
WY003,153,未记录,河流,184470363,23.364,109.3597744,23.1190007
WY003,154,未记录,河流,184470363,23.364,109.3598952,23.1186975
WY003,155,未记录,河流,184470363,23.364,109.3602169,23.1183578
WY003,156,未记录,河流,184470363,23.364,109.3605724,23.1178688
WY003,157,未记录,河流,184470363,23.364,109.3608327,23.1174448
WY003,158,未记录,河流,184470363,23.364,109.3608451,23.1169905
WY003,159,未记录,河流,184470363,23.364,109.3605065,23.1163843
WY003,160,未记录,河流,184470363,23.364,109.360027,23.1156784
WY003,161,未记录,河流,184470363,23.364,109.3599889,23.1153976
WY003,162,未记录,河流,184470363,23.364,109.359944,23.1151641
WY003,163,未记录,河流,184470363,23.364,109.3600371,23.1149733
WY003,164,未记录,河流,184470363,23.364,109.3601847,23.1148697
WY003,165,未记录,河流,184470363,23.364,109.3606252,23.1146719
WY003,166,未记录,河流,184470363,23.364,109.3611665,23.1144724
WY003,167,未记录,河流,184470363,23.364,109.3615345,23.1145178
WY003,168,未记录,河流,184470363,23.364,109.3615952,23.1144864
WY003,169,未记录,河流,184470363,23.364,109.3620579,23.1143329
WY003,170,未记录,河流,184470363,23.364,109.3623652,23.1140642
WY003,171,未记录,河流,184470363,23.364,109.3625914,23.113861
WY003,172,未记录,河流,184470363,23.364,109.3627407,23.1138689
WY003,173,未记录,河流,184470363,23.364,109.3628621,23.1139212
WY003,174,未记录,河流,184470363,23.364,109.3632853,23.1141148
WY003,175,未记录,河流,184470363,23.364,109.3640846,23.1144503
WY003,176,未记录,河流,184470363,23.364,109.3643187,23.1145492
WY003,177,未记录,河流,184470363,23.364,109.3645524,23.1145523
WY003,178,未记录,河流,184470363,23.364,109.3647056,23.1145352
WY003,179,未记录,河流,184470363,23.364,109.3648303,23.1144503
WY003,180,未记录,河流,184470363,23.364,109.3649218,23.1143468
WY003,181,未记录,河流,184470363,23.364,109.3649843,23.1141768
WY003,182,未记录,河流,184470363,23.364,109.3648893,23.1137448
WY003,183,未记录,河流,184470363,23.364,109.3647874,23.1134894
WY003,184,未记录,河流,184470363,23.364,109.3644279,23.1131724
WY003,185,未记录,河流,184470363,23.364,109.3640151,23.1127961
WY003,186,未记录,河流,184470363,23.364,109.363988,23.1124866
WY003,187,未记录,河流,184470363,23.364,109.3641397,23.1119556
WY003,188,未记录,河流,184470363,23.364,109.3643904,23.1117614
WY003,189,未记录,河流,184470363,23.364,109.3647725,23.1114674
WY003,190,未记录,河流,184470363,23.364,109.365415,23.1113765
WY003,191,未记录,河流,184470363,23.364,109.3659997,23.1113765
WY003,192,未记录,河流,184470363,23.364,109.3664396,23.1114357
WY003,193,未记录,河流,184470363,23.364,109.3667132,23.1113864
WY003,194,未记录,河流,184470363,23.364,109.367004,23.1112066
WY003,195,未记录,河流,184470363,23.364,109.3672281,23.110671
WY003,196,未记录,河流,184470363,23.364,109.3673676,23.1103157
WY003,197,未记录,河流,184470363,23.364,109.3673998,23.1100542
WY003,198,未记录,河流,184470363,23.364,109.3673412,23.1094446
WY003,199,未记录,河流,184470363,23.364,109.367035,23.1087961
WY003,200,未记录,河流,184470363,23.364,109.366716,23.1086427
WY003,201,未记录,河流,184470363,23.364,109.3665529,23.108388
WY003,202,未记录,河流,184470363,23.364,109.3665301,23.1082205
WY003,203,未记录,河流,184470363,23.364,109.36656,23.1080255
WY003,204,未记录,河流,184470363,23.364,109.366807,23.1078123
WY003,205,未记录,河流,184470363,23.364,109.3670277,23.1077807
WY003,206,未记录,河流,184470363,23.364,109.3673267,23.1077495
WY003,207,未记录,河流,184470363,23.364,109.3676567,23.1078158
WY003,208,未记录,河流,184470363,23.364,109.3681861,23.1079389
WY003,209,未记录,河流,184470363,23.364,109.3683111,23.1079519
WY003,210,未记录,河流,184470363,23.364,109.3684267,23.1079205
WY003,211,未记录,河流,184470363,23.364,109.3685595,23.1078019
WY003,212,未记录,河流,184470363,23.364,109.3687226,23.107589
WY003,213,未记录,河流,184470363,23.364,109.3687046,23.1071941
WY003,214,未记录,河流,184470363,23.364,109.3686082,23.1065596
WY003,215,未记录,河流,184470363,23.364,109.3683698,23.1062318
WY003,216,未记录,河流,184470363,23.364,109.3681043,23.1059562
WY003,217,未记录,河流,184470363,23.364,109.3679981,23.1056038
WY003,218,未记录,河流,184470363,23.364,109.368034,23.1053532
WY003,219,未记录,河流,184470363,23.364,109.3682259,23.1051547
WY003,220,未记录,河流,184470363,23.364,109.3686014,23.104839
WY003,221,未记录,河流,184470363,23.364,109.3689662,23.1047304
WY003,222,未记录,河流,184470363,23.364,109.3691701,23.1045676
WY003,223,未记录,河流,184470363,23.364,109.3692786,23.1042756
WY003,224,未记录,河流,184470363,23.364,109.3696314,23.1038028
WY003,225,未记录,河流,184470363,23.364,109.3703497,23.1031876
WY003,226,未记录,河流,184470363,23.364,109.3708089,23.1026312
WY003,227,未记录,河流,184470363,23.364,109.3710365,23.1025998
WY003,228,未记录,河流,184470363,23.364,109.3713003,23.1026773
WY003,229,未记录,河流,184470363,23.364,109.3716927,23.1030325
WY003,230,未记录,河流,184470363,23.364,109.3720821,23.1033367
WY003,231,未记录,河流,184470363,23.364,109.3724551,23.1036012
WY003,232,未记录,河流,184470363,23.364,109.3728231,23.1037547
WY003,233,未记录,河流,184470363,23.364,109.3729786,23.1038035
WY003,234,未记录,河流,184470363,23.364,109.3731559,23.103789
WY003,235,未记录,河流,184470363,23.364,109.3736064,23.103714
WY003,236,未记录,河流,184470363,23.364,109.3739712,23.1034377
WY003,237,未记录,河流,184470363,23.364,109.374313,23.1030446
WY003,238,未记录,河流,184470363,23.364,109.3743859,23.1026208
WY003,239,未记录,河流,184470363,23.364,109.3744203,23.1022152
WY003,240,未记录,河流,184470363,23.364,109.3742797,23.1019574
WY003,241,未记录,河流,184470363,23.364,109.3740866,23.101612
WY003,242,未记录,河流,184470363,23.364,109.3737393,23.1011235
WY003,243,未记录,河流,184470363,23.364,109.3736381,23.1006386
WY003,244,未记录,河流,184470363,23.364,109.3734884,23.1003143
WY003,245,未记录,河流,184470363,23.364,109.3732095,23.0999047
WY003,246,未记录,河流,184470363,23.364,109.3731532,23.0997029
WY003,247,未记录,河流,184470363,23.364,109.3732972,23.0995364
WY003,248,未记录,河流,184470363,23.364,109.3734717,23.0994213
WY003,249,未记录,河流,184470363,23.364,109.3736763,23.0992726
WY003,250,未记录,河流,184470363,23.364,109.373851,23.0992503
WY003,251,未记录,河流,184470363,23.364,109.3740786,23.099348
WY003,252,未记录,河流,184470363,23.364,109.3744959,23.0994736
WY003,253,未记录,河流,184470363,23.364,109.3749662,23.0995364
WY003,254,未记录,河流,184470363,23.364,109.3753395,23.0994785
WY003,255,未记录,河流,184470363,23.364,109.375687,23.0993794
WY003,256,未记录,河流,184470363,23.364,109.3758083,23.0991108
WY003,257,未记录,河流,184470363,23.364,109.3759548,23.0988171
WY003,258,未记录,河流,184470363,23.364,109.3758541,23.0983307
WY003,259,未记录,河流,184470363,23.364,109.3758349,23.0978617
WY003,260,未记录,河流,184470363,23.364,109.3757628,23.0974709
WY003,261,未记录,河流,184470363,23.364,109.3756341,23.0972293
WY003,262,未记录,河流,184470363,23.364,109.3757666,23.0970103
WY003,263,未记录,河流,184470363,23.364,109.3760354,23.096809
WY003,264,未记录,河流,184470363,23.364,109.3763318,23.0965393
WY003,265,未记录,河流,184470363,23.364,109.3767073,23.0963962
WY003,266,未记录,河流,184470363,23.364,109.3771786,23.0961564
WY003,267,未记录,河流,184470363,23.364,109.3775164,23.0951078
WY003,268,未记录,河流,184470363,23.364,109.377447,23.0941806
WY003,269,未记录,河流,184470363,23.364,109.3774849,23.0939817
WY003,270,未记录,河流,184470363,23.364,109.3774508,23.0937095
WY003,271,未记录,河流,184470363,23.364,109.377428,23.0935386
WY003,272,未记录,河流,184470363,23.364,109.3773239,23.0933157
WY003,273,未记录,河流,184470363,23.364,109.3770373,23.0929803
WY003,274,未记录,河流,184470363,23.364,109.3768818,23.0927814
WY003,275,未记录,河流,184470363,23.364,109.3768135,23.0926732
WY003,276,未记录,河流,184470363,23.364,109.3768224,23.0925438
WY003,277,未记录,河流,184470363,23.364,109.3768249,23.0922964
WY003,278,未记录,河流,184470363,23.364,109.3769253,23.0920787
WY003,279,未记录,河流,184470363,23.364,109.3773454,23.0920042
WY003,280,未记录,河流,184470363,23.364,109.3776727,23.0922465
WY003,281,未记录,河流,184470363,23.364,109.377898,23.0923846
WY003,282,未记录,河流,184470363,23.364,109.378225,23.0925766
WY004,1,蒙公河,河流,206615956,11.611,109.378225,23.0925766
WY004,2,蒙公河,河流,206615956,11.611,109.3800783,23.0895105
WY004,3,蒙公河,河流,206615956,11.611,109.3810009,23.0884544
WY004,4,蒙公河,河流,206615956,11.611,109.3812132,23.0875585
WY004,5,蒙公河,河流,206615956,11.611,109.3816209,23.0866505
WY004,6,蒙公河,河流,206615956,11.611,109.3824685,23.0859991
WY004,7,蒙公河,河流,206615956,11.611,109.3831682,23.0855626
WY004,8,蒙公河,河流,206615956,11.611,109.3849468,23.0855155
WY004,9,蒙公河,河流,206615956,11.611,109.3855929,23.0852074
WY004,10,蒙公河,河流,206615956,11.611,109.3864167,23.0845582
WY004,11,蒙公河,河流,206615956,11.611,109.3870604,23.0842325
WY004,12,蒙公河,河流,206615956,11.611,109.3877792,23.0840943
WY004,13,蒙公河,河流,206615956,11.611,109.3891602,23.0829085
WY004,14,蒙公河,河流,206615956,11.611,109.3898053,23.0817339
WY004,15,蒙公河,河流,206615956,11.611,109.3902006,23.0808748
WY004,16,蒙公河,河流,206615956,11.611,109.3901012,23.0802264
WY004,17,蒙公河,河流,206615956,11.611,109.3898023,23.0795398
WY004,18,蒙公河,河流,206615956,11.611,109.3894487,23.0788864
WY004,19,蒙公河,河流,206615956,11.611,109.3890694,23.0785514
WY004,20,蒙公河,河流,206615956,11.611,109.3886901,23.0780977
WY004,21,蒙公河,河流,206615956,11.611,109.3880927,23.0778049
WY004,22,蒙公河,河流,206615956,11.611,109.3877041,23.0775998
WY004,23,蒙公河,河流,206615956,11.611,109.3872106,23.0774419
WY004,24,蒙公河,河流,206615956,11.611,109.3868887,23.0769089
WY004,25,蒙公河,河流,206615956,11.611,109.3866312,23.0760304
WY004,26,蒙公河,河流,206615956,11.611,109.386245,23.0756652
WY004,27,蒙公河,河流,206615956,11.611,109.3860733,23.0753691
WY004,28,蒙公河,河流,206615956,11.611,109.3862688,23.074676
WY004,29,蒙公河,河流,206615956,11.611,109.3861753,23.0739576
WY004,30,蒙公河,河流,206615956,11.611,109.3859607,23.0737405
WY004,31,蒙公河,河流,206615956,11.611,109.385921,23.0735193
WY004,32,蒙公河,河流,206615956,11.611,109.386068,23.0731532
WY004,33,蒙公河,河流,206615956,11.611,109.3863611,23.0727934
WY004,34,蒙公河,河流,206615956,11.611,109.3865583,23.0724898
WY004,35,蒙公河,河流,206615956,11.611,109.3868087,23.0722315
WY004,36,蒙公河,河流,206615956,11.611,109.3871107,23.0721392
WY004,37,蒙公河,河流,206615956,11.611,109.3874346,23.0720151
WY004,38,蒙公河,河流,206615956,11.611,109.3876508,23.0718721
WY004,39,蒙公河,河流,206615956,11.611,109.3882461,23.0715773
WY004,40,蒙公河,河流,206615956,11.611,109.3884122,23.0715591
WY004,41,蒙公河,河流,206615956,11.611,109.3886483,23.0715862
WY004,42,蒙公河,河流,206615956,11.611,109.3888977,23.0716504
WY004,43,蒙公河,河流,206615956,11.611,109.3892223,23.071828
WY004,44,蒙公河,河流,206615956,11.611,109.389689,23.0720699
WY004,45,蒙公河,河流,206615956,11.611,109.3903995,23.0721985
WY004,46,蒙公河,河流,206615956,11.611,109.3913305,23.072329
WY004,47,蒙公河,河流,206615956,11.611,109.3920761,23.072097
WY004,48,蒙公河,河流,206615956,11.611,109.3925482,23.0721859
WY004,49,蒙公河,河流,206615956,11.611,109.3928862,23.072176
WY004,50,蒙公河,河流,206615956,11.611,109.393149,23.0721168
WY004,51,蒙公河,河流,206615956,11.611,109.3934035,23.071927
WY004,52,蒙公河,河流,206615956,11.611,109.3935884,23.0712108
WY004,53,蒙公河,河流,206615956,11.611,109.3940385,23.0704552
WY004,54,蒙公河,河流,206615956,11.611,109.394275,23.0699884
WY004,55,蒙公河,河流,206615956,11.611,109.3943496,23.0695339
WY004,56,蒙公河,河流,206615956,11.611,109.3941599,23.068459
WY004,57,蒙公河,河流,206615956,11.611,109.3943309,23.0675235
WY004,58,蒙公河,河流,206615956,11.611,109.3942882,23.0656565
WY004,59,蒙公河,河流,206615956,11.611,109.3941294,23.0642026
WY004,60,蒙公河,河流,206615956,11.611,109.3934587,23.0638169
WY004,61,蒙公河,河流,206615956,11.611,109.3933749,23.0631998
WY004,62,蒙公河,河流,206615956,11.611,109.3938416,23.0618168
WY004,63,蒙公河,河流,206615956,11.611,109.3942058,23.0612932
WY004,64,蒙公河,河流,206615956,11.611,109.3945733,23.060934
WY004,65,蒙公河,河流,206615956,11.611,109.3949253,23.0604717
WY004,66,蒙公河,河流,206615956,11.611,109.3955278,23.060136
WY004,67,蒙公河,河流,206615956,11.611,109.3967339,23.0595622
WY004,68,蒙公河,河流,206615956,11.611,109.3972779,23.0594512
WY004,69,蒙公河,河流,206615956,11.611,109.3976573,23.059371
WY004,70,蒙公河,河流,206615956,11.611,109.3979987,23.0593884
WY004,71,蒙公河,河流,206615956,11.611,109.3983303,23.0594649
WY004,72,蒙公河,河流,206615956,11.611,109.3988066,23.0596083
WY004,73,蒙公河,河流,206615956,11.611,109.3992551,23.0598435
WY004,74,蒙公河,河流,206615956,11.611,109.4010516,23.0609508
WY004,75,蒙公河,河流,206615956,11.611,109.4030057,23.0615348
WY004,76,蒙公河,河流,206615956,11.611,109.4041057,23.0618071
WY004,77,蒙公河,河流,206615956,11.611,109.4050848,23.0619359
WY004,78,蒙公河,河流,206615956,11.611,109.4079374,23.0616372
WY004,79,蒙公河,河流,206615956,11.611,109.4108489,23.0621904
WY004,80,蒙公河,河流,206615956,11.611,109.4110625,23.062177
WY004,81,蒙公河,河流,206615956,11.611,109.4113207,23.0620313
WY004,82,蒙公河,河流,206615956,11.611,109.4120043,23.060735
WY004,83,蒙公河,河流,206615956,11.611,109.4126911,23.060012
WY004,84,蒙公河,河流,206615956,11.611,109.4134924,23.0595164
WY004,85,蒙公河,河流,206615956,11.611,109.4138126,23.0594094
WY004,86,蒙公河,河流,206615956,11.611,109.4141274,23.0593326
WY004,87,蒙公河,河流,206615956,11.611,109.4144258,23.0593377
WY004,88,蒙公河,河流,206615956,11.611,109.4146711,23.0594274
WY004,89,蒙公河,河流,206615956,11.611,109.4148761,23.0596293
WY004,90,蒙公河,河流,206615956,11.611,109.4161454,23.0611021
WY004,91,蒙公河,河流,206615956,11.611,109.4163351,23.0612696
WY004,92,蒙公河,河流,206615956,11.611,109.4164906,23.0613083
WY004,93,蒙公河,河流,206615956,11.611,109.4167865,23.0613219
WY004,94,蒙公河,河流,206615956,11.611,109.4170904,23.0612389
WY004,95,蒙公河,河流,206615956,11.611,109.4180509,23.060965
WY004,96,蒙公河,河流,206615956,11.611,109.4184798,23.060844
WY004,97,蒙公河,河流,206615956,11.611,109.4189334,23.0605367
WY004,98,蒙公河,河流,206615956,11.611,109.4191989,23.0603587
WY004,99,蒙公河,河流,206615956,11.611,109.4194152,23.0602575
WY004,100,蒙公河,河流,206615956,11.611,109.4197283,23.0602198
WY004,101,蒙公河,河流,206615956,11.611,109.4199993,23.0602679
WY004,102,蒙公河,河流,206615956,11.611,109.4202125,23.0603751
WY004,103,蒙公河,河流,206615956,11.611,109.4204163,23.0605725
WY004,104,蒙公河,河流,206615956,11.611,109.4206416,23.0608687
WY004,105,蒙公河,河流,206615956,11.611,109.4208371,23.0612514
WY004,106,蒙公河,河流,206615956,11.611,109.420985,23.061609
WY004,107,蒙公河,河流,206615956,11.611,109.4210815,23.0618854
WY004,108,蒙公河,河流,206615956,11.611,109.4210708,23.0621618
WY004,109,蒙公河,河流,206615956,11.611,109.4208348,23.0629614
WY004,110,蒙公河,河流,206615956,11.611,109.4206953,23.0636623
